sno,State,Year,Quarter,Transaction_type,Transaction_count,Transaction_amount
265,arunachal-pradesh,2021,2,Peer-to-peer payments,762946,4000960152
266,arunachal-pradesh,2021,2,Recharge & bill payments,556680,165579844.3
267,arunachal-pradesh,2021,2,Merchant payments,243375,283709438.5
268,arunachal-pradesh,2021,2,Financial Services,1582,2761076.793
269,arunachal-pradesh,2021,2,Others,3755,3415105.338
270,arunachal-pradesh,2021,3,Peer-to-peer payments,986088,5033603845
271,arunachal-pradesh,2021,3,Recharge & bill payments,600102,187390578.3
272,arunachal-pradesh,2021,3,Merchant payments,314658,449869060.8
273,arunachal-pradesh,2021,3,Financial Services,1934,3348547.827
274,arunachal-pradesh,2021,3,Others,4185,3912143.35
275,arunachal-pradesh,2021,4,Peer-to-peer payments,1227616,6022733378
276,arunachal-pradesh,2021,4,Recharge & bill payments,633248,207784816.3
277,arunachal-pradesh,2021,4,Merchant payments,521447,704195695
278,arunachal-pradesh,2021,4,Financial Services,2386,3933557.28
279,arunachal-pradesh,2021,4,Others,5901,4862905.886
280,arunachal-pradesh,2022,1,Peer-to-peer payments,1403584,6670641250
281,arunachal-pradesh,2022,1,Merchant payments,720803,917155358.7
282,arunachal-pradesh,2022,1,Recharge & bill payments,670576,231933129
283,arunachal-pradesh,2022,1,Financial Services,3053,3359625.793
284,arunachal-pradesh,2022,1,Others,6052,5002264.113
285,arunachal-pradesh,2022,2,Peer-to-peer payments,1751568,7627061475
286,arunachal-pradesh,2022,2,Merchant payments,1108353,1255513517
287,arunachal-pradesh,2022,2,Recharge & bill payments,688770,241162643.2
288,arunachal-pradesh,2022,2,Financial Services,2466,4063469.1
289,arunachal-pradesh,2022,2,Others,5768,3864269.88
290,arunachal-pradesh,2022,3,Peer-to-peer payments,1967086,7365427284
291,arunachal-pradesh,2022,3,Merchant payments,1316326,1413247143
292,arunachal-pradesh,2022,3,Recharge & bill payments,649322,238448083.8
293,arunachal-pradesh,2022,3,Financial Services,1997,4763324.776
294,arunachal-pradesh,2022,3,Others,4687,3224948.702
295,arunachal-pradesh,2022,4,Peer-to-peer payments,2251135,7768088688
296,arunachal-pradesh,2022,4,Merchant payments,1704968,1669602213
297,arunachal-pradesh,2022,4,Recharge & bill payments,669151,239412553.6
298,arunachal-pradesh,2022,4,Financial Services,2617,3785469.399
299,arunachal-pradesh,2022,4,Others,4838,4020773.895
300,assam,2018,1,Recharge & bill payments,632092,93491181.14
301,assam,2018,1,Peer-to-peer payments,318025,993525196
302,assam,2018,1,Merchant payments,40482,34501622.89
303,assam,2018,1,Financial Services,18172,4936862.201
304,assam,2018,1,Others,48110,31349594
